ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
MFH;00:00;0.008247;0;0
MFH;00:15;0.007183;0;0.000168
MFH;00:30;0.007183;0;0
MFH;00:45;0.006651;0;0
MFH;01:00;0.006651;0;0
MFH;01:15;0.007715;0;0
MFH;01:30;0.006917;0;0
MFH;01:45;0.007183;0;0.001063
MFH;02:00;0.007183;0;0
MFH;02:15;0.005853;0;0
MFH;02:30;0.006651;0;0.000051
MFH;02:45;0.007183;0.009398;0
MFH;03:00;0.005853;0.000098;0
MFH;03:15;0.009311;0;0
MFH;03:30;0.007449;0;0
MFH;03:45;0.006651;0;0
MFH;04:00;0.006917;0;0
MFH;04:15;0.006119;0;0
MFH;04:30;0.005853;0;0
MFH;04:45;0.006385;0;0
MFH;05:00;0.007449;0;0
MFH;05:15;0.008513;0;0
MFH;05:30;0.007981;0;0.001332
MFH;05:45;0.007449;0;0.000916
MFH;06:00;0.008779;0.001544;0
MFH;06:15;0.009843;0;0.053738
MFH;06:30;0.010907;0.064949;0.0191
MFH;06:45;0.011705;0.051868;0.088764
MFH;07:00;0.009045;0.037915;0.008028
MFH;07:15;0.008513;0.034325;0.00068
MFH;07:30;0.009045;0.03114;0.014981
MFH;07:45;0.012769;0.035817;0.007504
MFH;08:00;0.010375;0.030923;0.01456
MFH;08:15;0.011971;0.029997;0.01237
MFH;08:30;0.010907;0.037715;0.00168
MFH;08:45;0.011705;0.042864;0.013702
MFH;09:00;0.017824;0.002498;0.097658
MFH;09:15;0.013833;0;0.081819
MFH;09:30;0.010375;0.035297;0.018061
MFH;09:45;0.014366;0;0.002385
MFH;10:00;0.007981;0.003455;0.030155
MFH;10:15;0.008513;0.021022;0.006083
MFH;10:30;0.009843;0.025992;0
MFH;10:45;0.008779;0.021063;0.004788
MFH;11:00;0.008513;0.018328;0
MFH;11:15;0.007981;0.002073;0.002012
MFH;11:30;0.008779;0.030729;0.020239
MFH;11:45;0.009311;0;0.081926
MFH;12:00;0.010375;0.037118;0
MFH;12:15;0.009577;0;0
MFH;12:30;0.007715;0.000899;0
MFH;12:45;0.007183;0.008589;0
MFH;13:00;0.007183;0.019114;0
MFH;13:15;0.007715;0.020681;0.000911
MFH;13:30;0.010109;0.007821;0
MFH;13:45;0.014632;0.000559;0.001645
MFH;14:00;0.018622;0.029236;0.000497
MFH;14:15;0.014366;0.011143;0.000817
MFH;14:30;0.014099;0.000556;0
MFH;14:45;0.015696;0.027906;0.001468
MFH;15:00;0.007981;0.01259;0.002822
MFH;15:15;0.009045;0.000534;0.016673
MFH;15:30;0.009045;0.034978;0.003112
MFH;15:45;0.009577;0.019022;0.018944
MFH;16:00;0.009577;0;0.004418
MFH;16:15;0.009311;0.002051;0.006971
MFH;16:30;0.009843;0.002439;0.007925
MFH;16:45;0.012503;0.00073;0.011857
MFH;17:00;0.011705;0.000254;0.012674
MFH;17:15;0.009311;0;0.000799
MFH;17:30;0.010109;0.000306;0
MFH;17:45;0.009045;0;0.004191
MFH;18:00;0.007715;0.000307;0
MFH;18:15;0.008513;0.000307;0.001924
MFH;18:30;0.009311;0.009712;0.003372
MFH;18:45;0.010109;0.007861;0.000531
MFH;19:00;0.021548;0.00028;0.002958
MFH;19:15;0.014632;0;0.074656
MFH;19:30;0.011971;0.021804;0
MFH;19:45;0.009577;0.018155;0.001526
MFH;20:00;0.010375;0;0.000799
MFH;20:15;0.009311;0.001662;0.002112
MFH;20:30;0.010375;0.001477;0.137138
MFH;20:45;0.011971;0.034869;0.000029
MFH;21:00;0.018888;0.002755;0.008252
MFH;21:15;0.023144;0.001141;0.005031
MFH;21:30;0.025539;0.000498;0.008682
MFH;21:45;0.019952;0.015137;0.002673
MFH;22:00;0.017292;0.006626;0.001956
MFH;22:15;0.012769;0.010723;0.04255
MFH;22:30;0.012769;0.012492;0.025116
MFH;22:45;0.013833;0.010657;0.001207
MFH;23:00;0.012769;0.012417;0
MFH;23:15;0.010907;0.009325;0
MFH;23:30;0.010109;0;0
MFH;23:45;0.010109;0.016258;0
